Name,URL,Author,Price,Number of Ratings,Average Rating
Last Week Tonight with John Oliver Presents a Day in the Life of Marlon Bundo,https://www.amazon.com/Tonight-Oliver-Presents-Marlon-Bundo/dp/145217380X?_encoding=UTF8&psc=1,NOT AVAILABLE,$11.99,4779,4.9 out of 5 stars
12 Rules for Life: An Antidote to Chaos,https://www.amazon.com/12-Rules-Life-Antidote-Chaos/dp/0345816021?_encoding=UTF8&psc=1,Jordan B. Peterson,$15.57,1556,4.7 out of 5 stars
Llama Llama Easter Egg,https://www.amazon.com/Llama-Easter-Egg-Anna-Dewdney/dp/0451469828?_encoding=UTF8&psc=1,Anna Dewdney,$5.99,215,4.5 out of 5 stars
The Don't Laugh Challenge - Easter Edition: Easter Edition - Don't Laugh Challenge: Easter Joke Book for Kids with Knock-Knock Jokes and Riddles Included,https://www.amazon.com/Dont-Laugh-Challenge-Knock-Knock-Included/dp/1945006803?_encoding=UTF8&psc=1,Don't Laugh Joke,$8.01,11,5.0 out of 5 stars
Secret Empires: How the American Political Class Hides Corruption and Enriches Family and Friends,https://www.amazon.com/Secret-Empires-American-Political-Corruption/dp/0062569368?_encoding=UTF8&psc=1,Peter Schweizer,$17.39,29,4.5 out of 5 stars
Easter Eggstravaganza Mad Libs,https://www.amazon.com/Easter-Eggstravaganza-Libs-Roger-Price/dp/0843172525?_encoding=UTF8&psc=1,Roger Price,$4.99,135,4.6 out of 5 stars
A Higher Loyalty: Truth  Lies  and Leadership,https://www.amazon.com/Higher-Loyalty-Truth-Lies-Leadership/dp/1250192455?_encoding=UTF8&psc=1,NOT AVAILABLE,$15.99,NOT AVAILABLE,NOT AVAILABLE
God Gave Us Easter,https://www.amazon.com/Gave-Easter-Lisa-Tawn-Bergren/dp/0307730727?_encoding=UTF8&psc=1,Lisa Tawn Bergren,$7.94,254,4.6 out of 5 stars
Player's Handbook (Dungeons & Dragons),https://www.amazon.com/Players-Handbook-Dungeons-Dragons-Wizards/dp/0786965606?_encoding=UTF8&psc=1,Wizards RPG Team,$27.27,2504,4.6 out of 5 stars
Little Blue Truck's Springtime,https://www.amazon.com/Little-Trucks-Springtime-Alice-Schertle/dp/0544938097?_encoding=UTF8&psc=1,Alice Schertle,$9.32,73,3.7 out of 5 stars
Ready Player One: A Novel,https://www.amazon.com/Ready-Player-One-Ernest-Cline/dp/0307887448?_encoding=UTF8&psc=1,Ernest Cline,$8.79,16384,4.6 out of 5 stars
Pete the Cat: Big Easter Adventure,https://www.amazon.com/Pete-Cat-Big-Easter-Adventure/dp/006219867X?_encoding=UTF8&psc=1,James Dean,$7.18,213,4.6 out of 5 stars
Food: What the Heck Should I Eat?,https://www.amazon.com/Food-What-Heck-Should-Eat/dp/0316338869?_encoding=UTF8&psc=1,Mark Hyman M.D.,$16.80,176,4.6 out of 5 stars
Russian Roulette: The Inside Story of Putin's War on America and the Election of Donald Trump,https://www.amazon.com/Russian-Roulette-Inside-America-Election/dp/1538728753?_encoding=UTF8&psc=1,Michael Isikoff,$18.00,149,4.6 out of 5 stars
Marlon Bundo's Day in the Life of the Vice President,https://www.amazon.com/Marlon-Bundos-Life-Vice-President/dp/1621577767?_encoding=UTF8&psc=1,Charlotte Pence,$12.04,239,4.5 out of 5 stars
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,https://www.amazon.com/Subtle-Art-Not-Giving-Counterintuitive/dp/0062457713?_encoding=UTF8&psc=1,Mark Manson,$14.99,3262,4.4 out of 5 stars
The Berenstain Bears and the Easter Story: Stickers Included! (Berenstain Bears/Living Lights),https://www.amazon.com/Berenstain-Bears-Easter-Story-Stickers/dp/0310720877?_encoding=UTF8&psc=1,Mike Berenstain,$4.01,344,4.6 out of 5 stars
Happy Easter  Little Critter (Little Critter) (Look-Look),https://www.amazon.com/Happy-Easter-Little-Critter-Look-Look/dp/0307117235?_encoding=UTF8&psc=1,Mercer Mayer,$3.78,105,4.5 out of 5 stars
Pinkalicious: Eggstraordinary Easter,https://www.amazon.com/Pinkalicious-Eggstraordinary-Easter-Victoria-Kann/dp/0062187724?_encoding=UTF8&psc=1,Victoria Kann,$4.74,93,4.7 out of 5 stars
Genius Foods: Become Smarter  Happier  and More Productive While Protecting Your Brain for Life,https://www.amazon.com/Genius-Foods-Smarter-Productive-Protecting/dp/0062562851?_encoding=UTF8&psc=1,Max Lugavere,$17.07,46,5.0 out of 5 stars
Happy Easter  Mouse! (If You Give...),https://www.amazon.com/Happy-Easter-Mouse-You-Give/dp/0694014222?_encoding=UTF8&psc=1,NOT AVAILABLE,$5.63,282,4.5 out of 5 stars
Peppa's Easter Egg Hunt (Peppa Pig),https://www.amazon.com/Peppas-Easter-Egg-Hunt-Peppa/dp/0545881307?_encoding=UTF8&psc=1,NOT AVAILABLE,$3.99,185,4.8 out of 5 stars
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),https://www.amazon.com/Dog-Man-Cat-Kid-Underpants/dp/0545935180?_encoding=UTF8&psc=1,Dav Pilkey,$6.40,342,4.9 out of 5 stars
First 100 Words,https://www.amazon.com/First-100-Words-Roger-Priddy/dp/0312510780?_encoding=UTF8&psc=1,Roger Priddy,$4.34,7805,4.6 out of 5 stars
A Wrinkle in Time (Time Quintet),https://www.amazon.com/Wrinkle-Time-Quintet/dp/0312367546?_encoding=UTF8&psc=1,Madeleine L'Engle,$6.02,2996,4.5 out of 5 stars
Little Fires Everywhere,https://www.amazon.com/Little-Fires-Everywhere-Celeste-Ng/dp/0735224293?_encoding=UTF8&psc=1,Celeste Ng,$15.28,2064,4.4 out of 5 stars
The 5 Love Languages: The Secret to Love that Lasts,https://www.amazon.com/Love-Languages-Secret-that-Lasts/dp/080241270X?_encoding=UTF8&psc=1,Gary Chapman,$9.59,12696,4.8 out of 5 stars
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,https://www.amazon.com/You-Are-Badass-Doubting-Greatness/dp/0762447699?_encoding=UTF8&psc=1,Jen Sincero,$9.89,3353,4.6 out of 5 stars
Count on the Easter Pups! (PAW Patrol),https://www.amazon.com/Count-Easter-Pups-PAW-Patrol/dp/1524768723?_encoding=UTF8&psc=1,Random House,$6.28,4,5.0 out of 5 stars
The Splat: Coloring the '90s (Nickelodeon) (Adult Coloring Book),https://www.amazon.com/Splat-Coloring-Nickelodeon-Adult-Book/dp/1524715212?_encoding=UTF8&psc=1,NOT AVAILABLE,$12.34,143,4.6 out of 5 stars
Giraffes Can't Dance,https://www.amazon.com/Giraffes-Cant-Dance-Giles-Andreae/dp/0545392551?_encoding=UTF8&psc=1,Giles Andreae,$5.06,3822,4.7 out of 5 stars
Goodnight Moon,https://www.amazon.com/Goodnight-Moon-Margaret-Wise-Brown/dp/0694003611?_encoding=UTF8&psc=1,Margaret Wise Brown,$5.93,3181,4.7 out of 5 stars
The Great Easter Race! (Sesame Street Scribbles),https://www.amazon.com/Great-Easter-Sesame-Street-Scribbles/dp/1492638374?_encoding=UTF8&psc=1,NOT AVAILABLE,$6.10,8,5.0 out of 5 stars
Simon vs. the Homo Sapiens Agenda,https://www.amazon.com/Simon-vs-Homo-Sapiens-Agenda/dp/006234868X?_encoding=UTF8&psc=1,Becky Albertalli,$6.69,788,4.7 out of 5 stars
Wonder,https://www.amazon.com/Wonder-R-J-Palacio/dp/0375869026?_encoding=UTF8&psc=1,R. J. Palacio,$10.19,12587,4.9 out of 5 stars
It's Not Easy Being a Bunny (Beginner Books(R)),https://www.amazon.com/Easy-Being-Bunny-Beginner-Books/dp/0394861027?_encoding=UTF8&psc=1,Marilyn Sadler,$8.99,229,4.8 out of 5 stars
Milk and Honey,https://www.amazon.com/Milk-Honey-Rupi-Kaur/dp/144947425X?_encoding=UTF8&psc=1,Rupi Kaur,$8.99,5357,4.6 out of 5 stars
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,https://www.amazon.com/Complete-Ketogenic-Diet-Beginners-Essential/dp/1623158087?_encoding=UTF8&psc=1,Amy Ramos,$9.36,689,4.2 out of 5 stars
The Very Hungry Caterpillar,https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907?_encoding=UTF8&psc=1,Eric Carle,$6.61,3418,4.6 out of 5 stars
I've Loved You Since Forever,https://www.amazon.com/Ive-Loved-You-Since-Forever/dp/0062841742?_encoding=UTF8&psc=1,Hoda Kotb,$12.33,65,4.6 out of 5 stars
I've Loved You Since Forever,https://www.amazon.com/Ive-Loved-You-Since-Forever/dp/0062841742?_encoding=UTF8&psc=1,Hoda Kotb,$12.33,65,4.6 out of 5 stars
The Wonderful Things You Will Be,https://www.amazon.com/Wonderful-Things-You-Will-Be/dp/0385376715?_encoding=UTF8&psc=1,Emily Winfield Martin,$11.75,1445,4.8 out of 5 stars
Dear Zoo: A Lift-the-Flap Book,https://www.amazon.com/Dear-Zoo-Lift-Flap-Book/dp/141694737X?_encoding=UTF8&psc=1,Rod Campbell,$4.71,2561,4.8 out of 5 stars
